Line Item,Bank_2024,Bank_2023,Group_2024,Group_2023
Cash in hand,10487340,10811748,10487990,10811888
Balances with banks,3017466,3666720,3035485,3671174
Cash in hand + Balances with banks (total),13504806,14478468,13523475,14483062
Cash in hand Held in local currency,10340257,10599533,10340907,10599673
Cash in hand Held in foreign currency,147083,212215,147083,212215
Balances with banks Local banks,511171,333191,529190,337645
Balances with banks Foreign banks,2506295,3333529,2506295,3333529
