Line Item,Bank_2024,Bank_2023,Group_2024,Group_2023
Balance as at 1 January,13866557.00,13182025.00,3239968.00,2874968.00
Transfers,,,418000.00,365000.00
Final dividend for 2023 – Scrip,843897.00,,,
Total contributions from and distribution to equity holders,684532.00,,,
Balance as at 31 December,14710454.00,13866557.00,3657968.00,3239968.00
