Line Item,Bank_2025,Bank_2024,Group_2025,Group_2024
Net cash flow generated /(used in) during the year,-41698.00,-60545.00,,
"– Property, plant and equipment",388996.00,531691.00,,
– Intangible assets,295258.00,82595.00,,
Total Capital Expenditure,684254.00,614286.00,760971.00,
